Dataset,Model,Radius,Bits,Tokenizer,Sketch,Mode,Accuracy,MCC
Syntemp_cluster_2,xgb,3,2048,path,parity,delta,0.5406401105226801,0.3691569204331383
USPTO_50k_balanced,xgb,3,2048,path,parity,delta,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,3,2048,path,parity,delta,0.916475,0.9147978431752801
USPTO_50k_unbalanced,xgb,3,2048,path,parity,delta,0.30287884846061575,0.0
schneider50k_balanced,xgb,3,2048,path,parity,delta,0.8982516695430329,0.8963804264415399
Syntemp_cluster_0,xgb,3,2048,path,parity,delta,0.8892980437284235,0.8816237778664894
Syntemp_cluster_1,xgb,3,2048,path,parity,delta,0.7843498273878021,0.7793005196439254
Syntemp_cluster_2,xgb,3,2048,path,parity,union,0.5652774579783559,0.4103821644264755
USPTO_50k_balanced,xgb,3,2048,path,parity,union,0.3039117352056169,0.0
schneider50k_unbalanced,xgb,3,2048,path,parity,union,0.83765,0.8344157210954327
USPTO_50k_unbalanced,xgb,3,2048,path,parity,union,0.30287884846061575,0.0
